text,intent,sentiment,clean_text
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
Aku cemas setiap hari karena takut dimarahi bos.,curhat,negatif,cemas setiap hari takut dimarahi bos
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Aku merasa orang-orang tidak memahami luka batinku.,curhat,negatif,merasa orangorang memahami luka batinku
Bagaimana cara meningkatkan kebahagiaan dalam hidup?,ngobrol,netral,cara meningkatkan kebahagiaan hidup
Aku cemas setiap hari karena takut dimarahi bos.,curhat,negatif,cemas setiap hari takut dimarahi bos
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Aku merasa stuck di pekerjaan yang tidak aku sukai.,curhat,negatif,merasa stuck pekerjaan sukai
Aku merasa tidak mampu mencapai apa yang aku impikan.,curhat,negatif,merasa mampu mencapai impikan
Aku merasa depresi dan tidak punya semangat hidup.,curhat,negatif,merasa depresi punya semangat hidup
Aku merasa tidak cukup baik dalam segala hal.,curhat,negatif,merasa cukup baik segala hal
Apa yang bisa aku lakukan untuk mengurangi kecemasan?,ngobrol,netral,lakukan mengurangi kecemasan
"Halo, bagaimana harimu?",ngobrol,netral,halo harimu
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Aku sering berpikir negatif tentang diriku sendiri.,curhat,negatif,sering berpikir negatif tentang diriku sendiri
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Apa yang bisa aku lakukan untuk mengurangi kecemasan?,ngobrol,netral,lakukan mengurangi kecemasan
Aku ingin menabung tapi pengeluaranku selalu besar.,curhat,negatif,ingin menabung tapi pengeluaranku selalu besar
Aku sulit tidur karena selalu overthinking.,curhat,negatif,sulit tidur selalu overthinking
Aku merasa tidak cukup baik dalam segala hal.,curhat,negatif,merasa cukup baik segala hal
Aku merasa orang-orang tidak memahami luka batinku.,curhat,negatif,merasa orangorang memahami luka batinku
Aku khawatir dengan masa depan finansialku.,curhat,negatif,khawatir masa depan finansialku
Aku ingin memulai bisnis tapi takut gagal.,curhat,negatif,ingin memulai bisnis tapi takut gagal
Aku ingin menabung tapi pengeluaranku selalu besar.,curhat,negatif,ingin menabung tapi pengeluaranku selalu besar
Aku sering stres karena harus membayar cicilan tiap bulan.,curhat,negatif,sering stres harus membayar cicilan tiap bulan
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Aku sulit tidur karena selalu overthinking.,curhat,negatif,sulit tidur selalu overthinking
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
"Halo, bagaimana harimu?",ngobrol,netral,halo harimu
Bagaimana cara meningkatkan kebahagiaan dalam hidup?,ngobrol,netral,cara meningkatkan kebahagiaan hidup
Aku mengalami kejadian traumatis yang sulit aku lupakan.,curhat,negatif,mengalami kejadian traumatis sulit lupakan
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Aku ingin memulai bisnis tapi takut gagal.,curhat,negatif,ingin memulai bisnis tapi takut gagal
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Aku sering merasa cemas tanpa alasan yang jelas.,curhat,negatif,sering merasa cemas tanpa alasan jelas
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Aku pernah di-bully dan itu masih menyakitiku sampai sekarang.,curhat,negatif,pernah dibully masih menyakitiku sampai sekarang
Aku sering membandingkan diriku dengan orang lain.,curhat,negatif,sering membandingkan diriku orang lain
Aku merasa depresi dan tidak punya semangat hidup.,curhat,negatif,merasa depresi punya semangat hidup
Aku merasa gaji yang aku dapatkan tidak cukup.,curhat,negatif,merasa gaji dapatkan cukup
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Ceritakan sesuatu yang bisa membuatku semangat.,ngobrol,netral,ceritakan sesuatu membuatku semangat
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Aku ingin memulai bisnis tapi takut gagal.,curhat,negatif,ingin memulai bisnis tapi takut gagal
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
Aku pernah di-bully dan itu masih menyakitiku sampai sekarang.,curhat,negatif,pernah dibully masih menyakitiku sampai sekarang
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Aku merasa gaji yang aku dapatkan tidak cukup.,curhat,negatif,merasa gaji dapatkan cukup
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
Aku merasa gaji yang aku dapatkan tidak cukup.,curhat,negatif,merasa gaji dapatkan cukup
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Aku sering berpikir negatif tentang diriku sendiri.,curhat,negatif,sering berpikir negatif tentang diriku sendiri
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Aku merasa tidak mampu mencapai apa yang aku impikan.,curhat,negatif,merasa mampu mencapai impikan
Aku khawatir dengan masa depan finansialku.,curhat,negatif,khawatir masa depan finansialku
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Apa yang bisa aku lakukan untuk mengurangi kecemasan?,ngobrol,netral,lakukan mengurangi kecemasan
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Aku ingin menabung tapi pengeluaranku selalu besar.,curhat,negatif,ingin menabung tapi pengeluaranku selalu besar
Aku merasa depresi dan tidak punya semangat hidup.,curhat,negatif,merasa depresi punya semangat hidup
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku ingin memulai bisnis tapi takut gagal.,curhat,negatif,ingin memulai bisnis tapi takut gagal
Aku merasa tidak cukup baik dalam segala hal.,curhat,negatif,merasa cukup baik segala hal
Aku khawatir dengan masa depan finansialku.,curhat,negatif,khawatir masa depan finansialku
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
"Halo, bagaimana harimu?",ngobrol,netral,halo harimu
Bagaimana cara meningkatkan kebahagiaan dalam hidup?,ngobrol,netral,cara meningkatkan kebahagiaan hidup
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Aku sering merasa cemas tanpa alasan yang jelas.,curhat,negatif,sering merasa cemas tanpa alasan jelas
Aku mengalami kejadian traumatis yang sulit aku lupakan.,curhat,negatif,mengalami kejadian traumatis sulit lupakan
Aku sering membandingkan diriku dengan orang lain.,curhat,negatif,sering membandingkan diriku orang lain
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Aku ingin mengatasi ketakutan masa lalu tapi sulit sekali.,curhat,negatif,ingin mengatasi ketakutan masa lalu tapi sulit sekali
Bagaimana cara meningkatkan kebahagiaan dalam hidup?,ngobrol,netral,cara meningkatkan kebahagiaan hidup
Aku sering berpikir negatif tentang diriku sendiri.,curhat,negatif,sering berpikir negatif tentang diriku sendiri
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Bagaimana cara meningkatkan kebahagiaan dalam hidup?,ngobrol,netral,cara meningkatkan kebahagiaan hidup
Ceritakan sesuatu yang bisa membuatku semangat.,ngobrol,netral,ceritakan sesuatu membuatku semangat
Aku ingin lebih percaya diri dalam hubungan sosial.,curhat,negatif,ingin percaya diri hubungan sosial
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Aku merasa tertekan karena target kerja yang tinggi.,curhat,negatif,merasa tertekan target kerja tinggi
Aku merasa orang-orang tidak memahami luka batinku.,curhat,negatif,merasa orangorang memahami luka batinku
Aku merasa tidak mampu mencapai apa yang aku impikan.,curhat,negatif,merasa mampu mencapai impikan
Aku ingin mengatasi ketakutan masa lalu tapi sulit sekali.,curhat,negatif,ingin mengatasi ketakutan masa lalu tapi sulit sekali
Aku ingin merasa lebih baik tapi tidak tahu caranya.,curhat,negatif,ingin merasa baik tapi tahu caranya
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Aku merasa tidak cukup baik dalam segala hal.,curhat,negatif,merasa cukup baik segala hal
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Aku pernah di-bully dan itu masih menyakitiku sampai sekarang.,curhat,negatif,pernah dibully masih menyakitiku sampai sekarang
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Bagaimana cara meningkatkan kebahagiaan dalam hidup?,ngobrol,netral,cara meningkatkan kebahagiaan hidup
Aku merasa tidak cukup baik dalam segala hal.,curhat,negatif,merasa cukup baik segala hal
Aku ingin memulai bisnis tapi takut gagal.,curhat,negatif,ingin memulai bisnis tapi takut gagal
Aku ingin lebih percaya diri dalam hubungan sosial.,curhat,negatif,ingin percaya diri hubungan sosial
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Aku khawatir dengan masa depan finansialku.,curhat,negatif,khawatir masa depan finansialku
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Bagaimana cara mengatasi overthinking setiap malam?,minta_saran,netral,cara mengatasi overthinking setiap malam
Aku merasa gaji yang aku dapatkan tidak cukup.,curhat,negatif,merasa gaji dapatkan cukup
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Aku merasa tidak cukup baik dalam segala hal.,curhat,negatif,merasa cukup baik segala hal
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Aku khawatir dengan masa depan finansialku.,curhat,negatif,khawatir masa depan finansialku
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Aku ingin menabung tapi pengeluaranku selalu besar.,curhat,negatif,ingin menabung tapi pengeluaranku selalu besar
Aku merasa orang-orang tidak memahami luka batinku.,curhat,negatif,merasa orangorang memahami luka batinku
Ceritakan sesuatu yang bisa membuatku semangat.,ngobrol,netral,ceritakan sesuatu membuatku semangat
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Aku merasa tidak mampu mencapai apa yang aku impikan.,curhat,negatif,merasa mampu mencapai impikan
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Aku khawatir dengan masa depan finansialku.,curhat,negatif,khawatir masa depan finansialku
Aku merasa tertekan karena target kerja yang tinggi.,curhat,negatif,merasa tertekan target kerja tinggi
Aku sering membandingkan diriku dengan orang lain.,curhat,negatif,sering membandingkan diriku orang lain
Aku sering merasa cemas tanpa alasan yang jelas.,curhat,negatif,sering merasa cemas tanpa alasan jelas
Aku sering membandingkan diriku dengan orang lain.,curhat,negatif,sering membandingkan diriku orang lain
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Bagaimana cara meningkatkan kebahagiaan dalam hidup?,ngobrol,netral,cara meningkatkan kebahagiaan hidup
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
Aku cemas setiap hari karena takut dimarahi bos.,curhat,negatif,cemas setiap hari takut dimarahi bos
Aku mengalami kejadian traumatis yang sulit aku lupakan.,curhat,negatif,mengalami kejadian traumatis sulit lupakan
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Aku ingin mengatasi ketakutan masa lalu tapi sulit sekali.,curhat,negatif,ingin mengatasi ketakutan masa lalu tapi sulit sekali
Aku sering membandingkan diriku dengan orang lain.,curhat,negatif,sering membandingkan diriku orang lain
Aku merasa tertekan karena target kerja yang tinggi.,curhat,negatif,merasa tertekan target kerja tinggi
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Aku cemas setiap hari karena takut dimarahi bos.,curhat,negatif,cemas setiap hari takut dimarahi bos
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Aku ingin merasa lebih baik tapi tidak tahu caranya.,curhat,negatif,ingin merasa baik tapi tahu caranya
Aku sering merasa cemas tanpa alasan yang jelas.,curhat,negatif,sering merasa cemas tanpa alasan jelas
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Aku sering merasa cemas tanpa alasan yang jelas.,curhat,negatif,sering merasa cemas tanpa alasan jelas
Aku merasa stuck di pekerjaan yang tidak aku sukai.,curhat,negatif,merasa stuck pekerjaan sukai
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Aku sulit tidur karena selalu overthinking.,curhat,negatif,sulit tidur selalu overthinking
Aku ingin merasa lebih baik tapi tidak tahu caranya.,curhat,negatif,ingin merasa baik tapi tahu caranya
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Aku sering membandingkan diriku dengan orang lain.,curhat,negatif,sering membandingkan diriku orang lain
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Aku ingin menabung tapi pengeluaranku selalu besar.,curhat,negatif,ingin menabung tapi pengeluaranku selalu besar
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Aku merasa stuck di pekerjaan yang tidak aku sukai.,curhat,negatif,merasa stuck pekerjaan sukai
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku merasa depresi dan tidak punya semangat hidup.,curhat,negatif,merasa depresi punya semangat hidup
Aku sering merasa cemas tanpa alasan yang jelas.,curhat,negatif,sering merasa cemas tanpa alasan jelas
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Apa yang bisa aku lakukan untuk mengurangi kecemasan?,ngobrol,netral,lakukan mengurangi kecemasan
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
Aku merasa tertekan karena target kerja yang tinggi.,curhat,negatif,merasa tertekan target kerja tinggi
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku merasa stuck di pekerjaan yang tidak aku sukai.,curhat,negatif,merasa stuck pekerjaan sukai
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Aku mengalami kejadian traumatis yang sulit aku lupakan.,curhat,negatif,mengalami kejadian traumatis sulit lupakan
Ceritakan sesuatu yang bisa membuatku semangat.,ngobrol,netral,ceritakan sesuatu membuatku semangat
Aku merasa gaji yang aku dapatkan tidak cukup.,curhat,negatif,merasa gaji dapatkan cukup
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Aku merasa stuck di pekerjaan yang tidak aku sukai.,curhat,negatif,merasa stuck pekerjaan sukai
Aku pernah di-bully dan itu masih menyakitiku sampai sekarang.,curhat,negatif,pernah dibully masih menyakitiku sampai sekarang
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Apa yang bisa aku lakukan untuk mengurangi kecemasan?,ngobrol,netral,lakukan mengurangi kecemasan
Aku sering stres karena harus membayar cicilan tiap bulan.,curhat,negatif,sering stres harus membayar cicilan tiap bulan
Aku tidak tahu apakah harus bertahan atau melepaskannya.,curhat,negatif,tahu apakah harus bertahan melepaskannya
Bagaimana cara mengatasi overthinking setiap malam?,minta_saran,netral,cara mengatasi overthinking setiap malam
Aku ingin lebih percaya diri dalam hubungan sosial.,curhat,negatif,ingin percaya diri hubungan sosial
Aku merasa orang-orang tidak memahami luka batinku.,curhat,negatif,merasa orangorang memahami luka batinku
Aku mengalami kejadian traumatis yang sulit aku lupakan.,curhat,negatif,mengalami kejadian traumatis sulit lupakan
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku sering mengingat pengalaman buruk dan merasa sedih.,curhat,negatif,sering mengingat pengalaman buruk merasa sedih
Aku merasa depresi dan tidak punya semangat hidup.,curhat,negatif,merasa depresi punya semangat hidup
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
Aku sering merasa cemas tanpa alasan yang jelas.,curhat,negatif,sering merasa cemas tanpa alasan jelas
Apa langkah pertama untuk membangun kepercayaan diri?,minta_saran,netral,langkah pertama membangun kepercayaan diri
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Aku merasa sendirian meskipun punya banyak teman.,curhat,negatif,merasa sendirian meskipun punya banyak teman
Aku merasa depresi dan tidak punya semangat hidup.,curhat,negatif,merasa depresi punya semangat hidup
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Bagaimana cara menghadapi orang toxic tanpa stres?,minta_saran,netral,cara menghadapi orang toxic tanpa stres
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Aku ingin merasa lebih baik tapi tidak tahu caranya.,curhat,negatif,ingin merasa baik tapi tahu caranya
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Aku merasa tertekan karena target kerja yang tinggi.,curhat,negatif,merasa tertekan target kerja tinggi
Aku kelelahan karena sering lembur tanpa bayaran tambahan.,curhat,negatif,kelelahan sering lembur tanpa bayaran tambahan
Aku ingin merasa lebih baik tapi tidak tahu caranya.,curhat,negatif,ingin merasa baik tapi tahu caranya
Bagaimana menghadapi kegagalan tanpa kehilangan motivasi?,minta_saran,netral,menghadapi kegagalan tanpa kehilangan motivasi
Aku mengalami kejadian traumatis yang sulit aku lupakan.,curhat,negatif,mengalami kejadian traumatis sulit lupakan
Aku khawatir dengan masa depan finansialku.,curhat,negatif,khawatir masa depan finansialku
"Halo, bagaimana harimu?",ngobrol,netral,halo harimu
